watch result all time - 16369ms 
=====================>100.00 % |  16369 ms | InvoiceController.createInvoiceV5
==========================================>0.13 % |  21 ms | BaseMapper.updateById:InvoiceAttribute@3ebde116
===================================>0.66 % |  108 ms | ExpenseMapper.selectByInvoiceOIDWithCascade:a554e733-490e-487b-8a73-b340ed05faca
===================================>0.06 % |  10 ms | InvoiceApplicationServiceImpl.getInvoiceApplicationDTOListByInvoiceOID:1946130299251605505,a554e733-490e-487b-8a73-b340ed05faca
==========================================>0.06 % |  10 ms | InvoiceApplicationMapper.getInvoiceApplicationByInvoiceOID:SingletonList@4b9bb984
===================================>0.08 % |  13 ms | ExpenseTypeI18nServiceImpl.translateOne:ExpenseType@76558076
==========================================>0.08 % |  13 ms | ExpenseTypeMpMapper.selectExpenseTypeI18n:ArrayList@56631d99,zh_cn
===================================>0.13 % |  21 ms | ReceiptServiceImpl.selectListByInvoiceOID:a554e733-490e-487b-8a73-b340ed05faca,1798976097732612098
==========================================>0.13 % |  21 ms | ReceiptLineInvRelServiceImpl.getRelPageByInvoiceOIDs:SingletonList@6427c9f9,PageRequest@afbf39
=================================================>0.13 % |  21 ms | ReceiptLineInvMappingMapper.selectRelByInvoiceOID:SingletonList@6427c9f9,HeliosPage@290ab00a
===================================>0.18 % |  30 ms | ReportService.selectByExpenseReportOid:c3b24448-7780-4c45-bb2f-963d2d7a156b
==========================================>0.18 % |  30 ms | ReportBaseService.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@123200a2
=================================================>0.18 % |  30 ms | ExpenseReportMPMapper.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@373f9141
===================================>0.24 % |  40 ms | DeductionOptServiceImpl.checkDeductionAndNonDeductionCoexist:DeductionOpt@33f2d47d,1798626251100164172,1798976097732612098
==========================================>0.12 % |  20 ms | BaseBOProcessorImpl.selectFirstEntity:DeductionOptExpenseTypeSearchCommand@5f744e06
=================================================>0.12 % |  20 ms | DeductionOptExpenseTypeMapper.selectBySearchCommand:DeductionOptExpenseTypeSearchCommand@5f744e06,Page@acd674c
==========================================>0.12 % |  20 ms | BaseBOProcessorImpl.selectFirstEntity:DeductionOptExpenseTypeSearchCommand@2775011e
=================================================>0.12 % |  20 ms | DeductionOptExpenseTypeMapper.selectBySearchCommand:DeductionOptExpenseTypeSearchCommand@2775011e,Page@782e5d58
===================================>0.12 % |  20 ms | BaseBOProcessorImplDeprecated.selectFirstEntity:InvoiceSupplementReceiptSearchCommand@21d3ed48
==========================================>0.12 % |  20 ms | BaseBOMapperDeprecated.selectBySearchCommand:InvoiceSupplementReceiptSearchCommand@21d3ed48,Page@17669784
===================================>0.12 % |  20 ms | InvoiceLabelServiceImpl.selectByInvoiceId:1946130299251605505
==========================================>0.12 % |  20 ms | LabelMapper.selectByEntityIdAndLabelCategoryId:1946130299251605505,2
===================================>0.06 % |  10 ms | ReportService.selectByInvoiceOID:a554e733-490e-487b-8a73-b340ed05faca
===================================>0.13 % |  21 ms | ExpenseReportCostCenterUpdateService.calculateVatInvoiceByCostCenter:ExpenseReport@3955f8b3,1798976097732612098
==========================================>0.13 % |  21 ms | CustomFormValueService.getCustomFormValuesByBizId:c3b24448-7780-4c45-bb2f-963d2d7a156b
=================================================>0.06 % |  10 ms | CustomFormValueCacheService.getCustomFormValue:c3b24448-7780-4c45-bb2f-963d2d7a156b
========================================================>0.06 % |  10 ms | CustomFormValueMapper.findByBizOIDAndParam:CustomFormValueSearchParam@54478e0a
=================================================>0.07 % |  11 ms | CustomFormFieldService.findViewFieldsByFormOID:1001,null,2dc11c99-2099-495b-bc97-099e8b2a295f,4818770f-6599-4965-9690-d622f90fc018,zh_cn,1798976097732612098,true,c3b24448-7780-4c45-bb2f-963d2d7a156b
========================================================>0.07 % |  11 ms | CustomFormViewService.getUserViewCustomFormById:1001,null,2dc11c99-2099-495b-bc97-099e8b2a295f,4818770f-6599-4965-9690-d622f90fc018,1798976097732612098,CustomFormDTO@46bba825,zh_cn,false,false,null,true,c3b24448-7780-4c45-bb2f-963d2d7a156b
===============================================================>0.06 % |  10 ms | CustomFormViewMapper.searchByFormOIDOrder:4818770f-6599-4965-9690-d622f90fc018,1798976097732612098,zh_cn
===================================>0.12 % |  19 ms | BaseMapper.updateById:Invoice@71bfb322
===================================>0.06 % |  10 ms | ExpenseReportInvoiceServiceImpl.findExpenseReportIdByInvoiceId:1946130299251605505
==========================================>0.06 % |  10 ms | ExpenseReportInvoiceMapper.findExpenseReportIdByInvoiceId:1946130299251605505
===================================>0.06 % |  10 ms | ReportService.selectExpenseReportByInvoiceOid:c3b24448-7780-4c45-bb2f-963d2d7a156b
==========================================>0.06 % |  10 ms | ExpenseReportInvoiceServiceImpl.findByInvoiceOIDAndStatusNot:c3b24448-7780-4c45-bb2f-963d2d7a156b,1003
=================================================>0.06 % |  10 ms | ExpenseReportInvoiceMapper.findByInvoiceOIDAndStatusNot:c3b24448-7780-4c45-bb2f-963d2d7a156b,1003
===================================>0.06 % |  10 ms | InvoiceLabelServiceImpl.removeLabels:1946130299251605505,SingletonList@2bb9e6b5,1798976097732612098
==========================================>0.06 % |  10 ms | EntityLabelServiceImpl.removeEntityLabels:1946130299251605505,SingletonList@2bb9e6b5,LabelCategory@3fb0b9ef,1798976097732612098
===================================>0.10 % |  17 ms | BaseMapper.updateById:Invoice@4b1d3a41
===================================>0.07 % |  11 ms | ExpenseReportInvoiceServiceImpl.findExpenseReportIdByInvoiceId:1946130299251605505
==========================================>0.07 % |  11 ms | ExpenseReportInvoiceMapper.findExpenseReportIdByInvoiceId:1946130299251605505
===================================>6.87 % |  1124 ms | InvoiceLabelServiceImpl.refreshInvoiceLables:InvoiceViewDTO@2afc1966,ExpenseType@14fabba9,InvoiceUserContext@4ba0e182,RefreshLabelCommand@2c4ae948
